[2022-03-31 10:19:20,194][train.py][line:20][INFO] net:GCN_2(7, 20, 20)	 criterion:L1Loss()	 optimizer:Adam(1e-3)
[2022-03-31 10:19:20,194][train.py][line:21][INFO] avrbound:0.1	 latencylimit:5
[2022-03-31 10:19:20,194][train.py][line:22][INFO] clear to train
[2022-03-31 10:26:39,504][train.py][line:47][INFO] Epoch:[22/100]	 avrbaccu=0.735514	 acc=0.927143	 missaccu=0.061723
[2022-03-31 10:26:40,049][train.py][line:63][INFO] Test:	 avrbaccu=0.828646	 acc=0.934062	 missaccu=0.001308
[2022-03-31 10:26:55,886][train.py][line:47][INFO] Epoch:[23/100]	 avrbaccu=0.735660	 acc=0.926957	 missaccu=0.061868
[2022-03-31 10:26:56,403][train.py][line:63][INFO] Test:	 avrbaccu=0.830608	 acc=0.932450	 missaccu=0.001308
[2022-03-31 10:27:12,124][train.py][line:47][INFO] Epoch:[24/100]	 avrbaccu=0.737986	 acc=0.927175	 missaccu=0.061941
[2022-03-31 10:27:12,641][train.py][line:63][INFO] Test:	 avrbaccu=0.835186	 acc=0.929894	 missaccu=0.001308
[2022-03-31 10:27:28,441][train.py][line:47][INFO] Epoch:[25/100]	 avrbaccu=0.739004	 acc=0.927107	 missaccu=0.060996
[2022-03-31 10:27:28,956][train.py][line:63][INFO] Test:	 avrbaccu=0.805101	 acc=0.929457	 missaccu=0.001308
[2022-03-31 10:27:44,801][train.py][line:47][INFO] Epoch:[26/100]	 avrbaccu=0.739731	 acc=0.927171	 missaccu=0.061796
[2022-03-31 10:27:45,327][train.py][line:63][INFO] Test:	 avrbaccu=0.815566	 acc=0.930333	 missaccu=0.001308
[2022-03-31 10:28:01,099][train.py][line:47][INFO] Epoch:[27/100]	 avrbaccu=0.739295	 acc=0.927514	 missaccu=0.061360
[2022-03-31 10:28:01,610][train.py][line:63][INFO] Test:	 avrbaccu=0.837148	 acc=0.932620	 missaccu=0.001308
[2022-03-31 10:28:17,354][train.py][line:47][INFO] Epoch:[28/100]	 avrbaccu=0.741767	 acc=0.927541	 missaccu=0.061650
[2022-03-31 10:28:17,900][train.py][line:63][INFO] Test:	 avrbaccu=0.837802	 acc=0.938187	 missaccu=0.001308
[2022-03-31 10:28:33,642][train.py][line:47][INFO] Epoch:[29/100]	 avrbaccu=0.740022	 acc=0.927298	 missaccu=0.061578
[2022-03-31 10:28:34,158][train.py][line:63][INFO] Test:	 avrbaccu=0.824722	 acc=0.932591	 missaccu=0.001308
[2022-03-31 10:28:49,949][train.py][line:47][INFO] Epoch:[30/100]	 avrbaccu=0.738859	 acc=0.927479	 missaccu=0.062305
[2022-03-31 10:28:50,492][train.py][line:63][INFO] Test:	 avrbaccu=0.814258	 acc=0.931949	 missaccu=0.001308
[2022-03-31 10:29:06,243][train.py][line:47][INFO] Epoch:[31/100]	 avrbaccu=0.743293	 acc=0.927645	 missaccu=0.061505
[2022-03-31 10:29:06,787][train.py][line:63][INFO] Test:	 avrbaccu=0.832570	 acc=0.933296	 missaccu=0.001308
[2022-03-31 10:29:22,632][train.py][line:47][INFO] Epoch:[32/100]	 avrbaccu=0.740531	 acc=0.927556	 missaccu=0.061578
[2022-03-31 10:29:23,144][train.py][line:63][INFO] Test:	 avrbaccu=0.820144	 acc=0.932872	 missaccu=0.001308
[2022-03-31 10:29:38,861][train.py][line:47][INFO] Epoch:[33/100]	 avrbaccu=0.743511	 acc=0.927824	 missaccu=0.061941
[2022-03-31 10:29:39,397][train.py][line:63][INFO] Test:	 avrbaccu=0.816220	 acc=0.933114	 missaccu=0.001308
[2022-03-31 10:29:55,203][train.py][line:47][INFO] Epoch:[34/100]	 avrbaccu=0.743657	 acc=0.927824	 missaccu=0.060996
[2022-03-31 10:29:55,740][train.py][line:63][INFO] Test:	 avrbaccu=0.852845	 acc=0.936212	 missaccu=0.001308
[2022-03-31 10:30:11,439][train.py][line:47][INFO] Epoch:[35/100]	 avrbaccu=0.742930	 acc=0.928090	 missaccu=0.060996
[2022-03-31 10:30:11,951][train.py][line:63][INFO] Test:	 avrbaccu=0.854807	 acc=0.935433	 missaccu=0.001308
[2022-03-31 10:30:27,751][train.py][line:47][INFO] Epoch:[36/100]	 avrbaccu=0.743221	 acc=0.928237	 missaccu=0.061796
[2022-03-31 10:30:28,281][train.py][line:63][INFO] Test:	 avrbaccu=0.862655	 acc=0.944447	 missaccu=0.001308
